"Source:","C:\Users\Ben\Desktop\MultiSpectLED\MultiSpectLED.sch"
"Date:","02/19/22 12:57:11"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","102"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Part Number"
"","","J2","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","MultiSpectLED:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","CP-036AHPJCT-ND"
"","","L1","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L2","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L3","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L4","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L5","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L6","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L7","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L8","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L9","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L10","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L11","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L12","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L13","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L14","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","L15","4.7u","MultiSpectLED:L","MultiSpectLED:L_1007_2518Metric","~","587-1621-1-ND"
"","","R1","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R2","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R3","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R4","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R5","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R6","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R7","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R8","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
"","","R9","0.2","MultiSpectLED:R","MultiSpectLED:R_0805_2012Metric","~","RL12S.20FCT-ND"
